"","eccentricity","folded_direction_content","abs_direction_content","folded_displacement","abs_displacement","target_spacing","target_number","subject","folded_response_with_carrier","abs_response_cw"
"57",6.66666666666667,0.4,0.4,-0.1,-0.1,10.471975511966,4,"je",TRUE,TRUE
"58",6.66666666666667,0.4,-0.4,-0.15,0.15,2.0943951023932,20,"je",TRUE,FALSE
"59",6.66666666666667,0.4,-0.4,-0.225,0.225,5.23598775598299,8,"je",TRUE,FALSE
"60",6.66666666666667,0.4,-0.4,0.0333333333333333,-0.0333333333333333,10.471975511966,4,"je",TRUE,FALSE
"61",6.66666666666667,0.4,-0.4,-0.1,0.1,10.471975511966,4,"je",TRUE,FALSE
"63",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"64",6.66666666666667,0.4,0.4,0,0,2.6179938779915,16,"je",TRUE,TRUE
"65",6.66666666666667,0.4,0.4,-0.225,-0.225,2.6179938779915,16,"je",FALSE,FALSE
"66",6.66666666666667,0.4,0.4,-0.15,-0.15,5.23598775598299,8,"je",FALSE,FALSE
"67",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"68",6.66666666666667,0.4,0.4,-0.1,-0.1,10.471975511966,4,"je",FALSE,FALSE
"69",6.66666666666667,0.4,-0.4,-0.225,0.225,2.0943951023932,20,"je",TRUE,FALSE
"70",6.66666666666667,0.4,0.4,-0.3375,-0.3375,5.23598775598299,8,"je",FALSE,FALSE
"71",6.66666666666667,0.4,-0.4,-0.3375,0.3375,2.0943951023932,20,"je",TRUE,FALSE
"72",6.66666666666667,0.4,0.4,-0.225,-0.225,2.0943951023932,20,"je",TRUE,TRUE
"73",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",TRUE,FALSE
"74",6.66666666666667,0.4,0.4,0,0,10.471975511966,4,"je",TRUE,TRUE
"75",6.66666666666667,0.4,0.4,-0.0333333333333333,-0.0333333333333333,2.6179938779915,16,"je",TRUE,TRUE
"76",6.66666666666667,0.4,-0.4,-0.3375,0.3375,5.23598775598299,8,"je",FALSE,TRUE
"78",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,10.471975511966,4,"je",TRUE,FALSE
"79",6.66666666666667,0.4,0.4,-0.0666666666666667,-0.0666666666666667,10.471975511966,4,"je",FALSE,FALSE
"80",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,2.6179938779915,16,"je",TRUE,FALSE
"81",6.66666666666667,0.4,0.4,-0.0333333333333333,-0.0333333333333333,10.471975511966,4,"je",TRUE,TRUE
"82",6.66666666666667,0.4,-0.4,-0.1,0.1,5.23598775598299,8,"je",FALSE,TRUE
"84",6.66666666666667,0.4,0.4,-0.1,-0.1,2.6179938779915,16,"je",TRUE,TRUE
"85",6.66666666666667,0.4,0.4,-0.50625,-0.50625,2.0943951023932,20,"je",TRUE,TRUE
"86",6.66666666666667,0.4,0.4,-0.15,-0.15,2.6179938779915,16,"je",TRUE,TRUE
"87",6.66666666666667,0.4,-0.4,-0.0666666666666667,0.0666666666666667,5.23598775598299,8,"je",TRUE,FALSE
"88",6.66666666666667,0.4,0.4,-0.0666666666666667,-0.0666666666666667,5.23598775598299,8,"je",TRUE,TRUE
"89",6.66666666666667,0.4,0.4,-0.15,-0.15,2.6179938779915,16,"je",TRUE,TRUE
