"","eccentricity","abs_direction_content","content_ccw","content_cw","abs_displacement","target_number_all","target_number_shown","tf","wavelengthScalar","dt","widthScalar","durationScalar","order","n","grid","analysis_wavelengths.1","analysis_wavelengths.2","analysis_wavelengths.3","analysis_wavelengths.4","filter_sizes.1","filter_sizes.2","filter_sizes.3","filter_sizes.4","filter_cycles.1","filter_cycles.2","filter_cycles.3","filter_cycles.4","energy_cw.1","energy_cw.2","energy_cw.3","energy_cw.4","energy_ccw.1","energy_ccw.2","energy_ccw.3","energy_ccw.4"
"1",6.66666666666667,-1,0.1,0,-0.759375,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"2",6.66666666666667,-1,0.1,0,-0.50625,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"3",6.66666666666667,-1,0.1,0,-0.3375,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"4",6.66666666666667,-1,0.1,0,-0.225,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"5",6.66666666666667,-1,0.1,0,-0.225,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"6",6.66666666666667,-1,0.1,0,-0.15,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"7",6.66666666666667,-1,0.1,0,-0.15,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"8",6.66666666666667,-1,0.1,0,-0.1,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"9",6.66666666666667,-1,0.1,0,-0.0666666666666667,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"10",6.66666666666667,-1,0.1,0,-0.0666666666666667,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"11",6.66666666666667,-1,0.1,0,-0.0333333333333333,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"12",6.66666666666667,-1,0.1,0,-0.0333333333333333,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"13",6.66666666666667,-1,0.1,0,0,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"14",6.66666666666667,-1,0.1,0,0,20,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
"15",6.66666666666667,-1,0.1,0,0.0333333333333333,6,NA,10,0.075,0.1,0.075,0.666666666666667,4,4,0,0.333333333333333,0.5,0.75,1.12533333333333,6.50930580493288,4.61482379751087,3.51129805979177,2.58957867501229,3.02443947839018,2.4796887756122,2.10487860758935,1.74027343348723,0,0,0,0,0,0,0,0
