"eccentricity","folded_direction_content","target_spacing","subject","pse","pse_25","pse_75","threshold_25","threshold_75","threshold","bias","bias_sem","sensitivity","sensitivity_sem","slope.positive","n_trials","cw_bias","cw_bias_sem"
6.66666666666667,0.1,2.0943951023932,"as",0.214037478354941,0.171244766497681,0.257262223702473,0.249399840984224,0.3456132606515,0.28556218192939,-0.938983674033912,0.327988535986488,4.38700587042417,1.1307336782647,1,143,1.20423661936132,0.561213923487502
6.66666666666667,0.1,2.0943951023932,"cj",0.156413500384575,0.106457510476435,0.214016068726943,0.338464666014473,0.470621033747885,0.390229904300443,-0.502137429487383,0.259906827401482,3.21032026169591,0.816908571616936,1,130,1.62245330500328,0.546658767075581
6.66666666666667,0.1,2.0943951023932,"jb",0.260763148438777,0.230135165536044,0.296425075236281,0.167537347362594,0.248022744991877,0.199043660136584,-1.64121989963507,0.46550478441709,6.29391042968021,1.88516326180478,1,109,-0.701649073390412,0.519838280942146
6.66666666666667,0.1,2.0943951023932,"je",-9.63348246740725,-0.923605830443073,1.37881237335223,-4.74214163820453,4.54276109210005,-38.1259162900502,-0.316542427492207,0.208815948265054,-0.0328585668332463,0.394244861758419,0.458,158,-0.328407434159828,0.374454480430633
6.66666666666667,0.1,2.0943951023932,"ko",-1.87026035592847,-2.19120566254726,-0.307698073985119,-3.41103873608709,-0.999007420578926,-2.90098736282797,-0.807653609724148,0.297073706568238,-0.431840201907717,0.520046109771205,0.196,150,0.224463419453041,0.456601937845596
6.66666666666667,0.1,2.0943951023932,"mc",-0.192920383427029,-0.453999131486621,0.0129652313818416,-0.367763758293931,-0.237058426245219,-0.278934499725644,-0.866452563103621,1.42927423808836,-4.49124425170629,1.35326956757917,0.002,132,-6.12760126932535,2.86967415737941
6.66666666666667,0.1,2.0943951023932,"ml",-0.199687212160758,-0.559410090983825,0.208610697345513,-4.50625834197883,-1.82323600280727,-3.41051570648301,-0.0733498292359557,0.209416611876555,-0.367323617983639,0.280733461681221,0.102,135,0.209493531291072,0.404492643101894
6.66666666666667,0.1,2.0943951023932,"nj",0.0267176535030091,-0.0480910782165742,0.0946583700126723,0.355374841923992,0.577846449816605,0.435285939094177,-0.0768940227734268,0.273550506919014,2.8780230556088,0.944173631774502,1,146,3.03831893158305,0.777665204767424
6.66666666666667,0.1,2.0943951023932,"ns",0.736171958243891,0.19924698785666,0.868491993319194,0.676896473768623,2.1582964402357,1.79786600450199,-0.512968689225607,0.268294405526315,0.696805526862602,0.832170080094645,0.854,147,2.51825734652924,0.535697405250781
6.66666666666667,0.1,2.0943951023932,"pbm",-0.239527249227006,-0.269423639395924,-0.21155929363739,0.14944443418277,0.193089182379126,0.169254576892865,1.77289662286115,0.449323336933864,7.40164899226531,1.44934320378217,1,168,0.697974401243115,0.448460012756669
6.66666666666667,0.1,2.0943951023932,"tl",-0.315083214223779,-0.752038821076854,0.133250041247405,-4.87407989365088,-1.81085174064933,-3.49815175383959,-0.112838038641631,0.222717505308225,-0.35812138999411,0.287743907823636,0.126,182,1.27395862511146,0.436997053295973
6.66666666666667,0.1,2.0943951023932,"to",-1.71640013780197,-2.23701653865824,-1.23339309532359,1.03184369513384,2.31800073488813,1.64420836503027,1.30776766344883,0.371323355707463,0.761924701965804,0.494602443888426,0.926,153,-0.624999194165866,0.4643975969958
6.66666666666667,0.1,6.98131700797732,"je",0.0937756617453582,0.080964708624221,0.107316907576499,0.0983557799646865,0.141272275562644,0.118256860582414,-0.993419542867546,0.31959431257538,10.593575394489,2.68937163460168,1,169,-0.738644839773085,0.434382663121832
6.66666666666667,0.1,6.98131700797732,"tl",0.120508572515886,0.0373881788585786,0.228790271779178,0.636553415042705,0.947941633662895,0.744679506175694,-0.202729732431393,0.236879997479455,1.68228473874478,0.477921852543012,1,169,0.939969394489876,0.473928382239505
6.66666666666667,0.1,8.37758040957278,"as",0.0607709917560285,0.0527280076337722,0.0687232935380669,0.0439293369901529,0.0640125143566564,0.0505655331559185,-1.50560358566651,0.50618774037986,24.7750372696058,6.51268993984036,1,132,1.45381982480909,0.723393224933533
6.66666666666667,0.1,8.37758040957278,"cj",0.0228951967152448,0.0131170342024071,0.0325329115492685,0.0443352649641113,0.0685857240883543,0.0537748615536973,-0.533376633106427,0.328190644443503,23.2964424695806,7.97387189604386,1,134,-4.19951122984344,1.50078639970089
6.66666666666667,0.1,8.37758040957278,"jb",0.0863070745861318,0.0809235935213768,0.091603139457281,0.0293222721404885,0.0432661661935975,0.0349508158581807,-3.0935560245403,0.853831233515052,35.8435972876479,9.82123192676282,1,118,-1.93161570909932,0.641959211870861
6.66666666666667,0.1,8.37758040957278,"ko",0.147862383799266,0.13499738114769,0.16442869350987,0.0917548776708093,0.123496842465554,0.104286233501802,-1.77623174830615,0.435591957237557,12.0127357794902,2.84760722090699,1,150,0.553549769491429,0.510979221244627
6.66666666666667,0.1,8.37758040957278,"mc",0.110073481301653,0.0917788354885115,0.130590882452943,0.12289705538809,0.173971207760093,0.145183692363065,-0.949803514042316,0.319537502426428,8.62881325102646,2.232038394348,1,141,0.0257365403703203,0.4780263069654
6.66666666666667,0.1,8.37758040957278,"ml",0.233727320701395,0.132455678393546,0.333183534558102,0.603751206066911,1.06980719325837,0.774516430285572,-0.378048703230721,0.248499957127572,1.61747758925329,0.623642253045628,0.994,135,-1.29090929196157,0.452705051402394
